Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,
Definition,0,file_id,serial_number,1,,time_created,1,,manufacturer,1,,product,1,,number,1,,unknown,1,,type,1,,
Data,0,file_id,serial_number,"3336813752",,time_created,"983392260",,manufacturer,"1",,garmin_product,"2158",,number,"187",,type,"32",,,,,
Definition,1,device_info,timestamp,1,,serial_number,1,,manufacturer,1,,product,1,,software_version,1,,,,,,,,
Data,1,device_info,timestamp,"983392260",s,serial_number,"3336813752",,manufacturer,"1",,garmin_product,"2158",,software_version,"9.8",,,,,,,,
Definition,2,software,version,1,,,,,,,,,,,,,,,,,,,,
Data,2,software,version,"3.0",,,,,,,,,,,,,,,,,,,,
Definition,3,monitoring_info,timestamp,1,,local_timestamp,1,,cycles_to_distance,2,,cycles_to_calories,2,,unknown,2,,resting_metabolic_rate,1,,activity_type,2,,unknown,1,,
Data,3,monitoring_info,timestamp,"983392260",s,local_timestamp,"983392260",s,cycles_to_distance,"1.7744|2.6616",m/cycle,cycles_to_calories,"0.0618|0.1948",kcal/cycle,unknown,"4705|4705",,resting_metabolic_rate,"2387",kcal / day,activity_type,"6|1",,,,,
Definition,4,monitoring,timestamp,1,,distance,1,,cycles,1,,active_time,1,,active_calories,1,,duration_min,1,,activity_type,1,,,,,
Data,4,monitoring,timestamp,"983392260",s,distance,"0.0",m,cycles,"0.0",cycles,active_time,"11655.0",s,active_calories,"635",kcal,duration_min,"1231",min,activity_type,"0",,,,,
Data,4,monitoring,timestamp,"983392260",s,distance,"1215.46",m,steps,"1370",steps,active_time,"2045.0",s,active_calories,"148",kcal,duration_min,"1231",min,activity_type,"6",,,,,
Data,4,monitoring,timestamp,"983392260",s,distance,"323.38",m,steps,"243",steps,active_time,"135.0",s,active_calories,"23",kcal,duration_min,"1231",min,activity_type,"1",,,,,
Definition,5,monitoring,timestamp,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp,"983392260",s,unknown,"42",,unknown,"49",,,,,,,,,,,,,,,,,
Definition,6,unknown,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"983392260",,unknown,"54",,unknown,"57",,,,,,,,,,,,,,,,,
Definition,7,monitoring,timestamp_16,1,,heart_rate,1,,,,,,,,,,,,,,,,,,,,
Data,7,monitoring,timestamp_16,"24640",s,heart_rate,"90",bpm,,,,,,,,,,,,,,,,,,,
Definition,0,unknown,unknown,17,,,,,,,,,,,,,,,,,,,,,,,
Data,0,unknown,unknown,"64|96|157|58|0|1|9|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,7,monitoring,timestamp_16,"24700",s,heart_rate,"84",bpm,,,,,,,,,,,,,,,,,,,
Definition,1,monitoring,timestamp,1,,current_activity_type_intensity,1,,,,,,,,,,,,,,,,,,,,
Data,1,monitoring,timestamp,"983392380",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,,,,
Data,7,monitoring,timestamp_16,"24760",s,heart_rate,"70",bpm,,,,,,,,,,,,,,,,,,,
Data,1,monitoring,timestamp,"983392440",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,,,,
Data,7,monitoring,timestamp_16,"24880",s,heart_rate,"69",bpm,,,,,,,,,,,,,,,,,,,
Data,7,monitoring,timestamp_16,"24940",s,heart_rate,"70",bpm,,,,,,,,,,,,,,,,,,,
Data,1,monitoring,timestamp,"983392680",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,,,,
Data,7,monitoring,timestamp_16,"25060",s,heart_rate,"68",bpm,,,,,,,,,,,,,,,,,,,
Data,1,monitoring,timestamp,"983392740",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,,,,
Data,1,monitoring,timestamp,"983392800",s,current_activity_type_intensity,"40",,activity_type,"8",,intensity,"1.0",,,,,,,,,,,,,,
Data,1,monitoring,timestamp,"983392860",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,,,,
Data,7,monitoring,timestamp_16,"25300",s,heart_rate,"74",bpm,,,,,,,,,,,,,,,,,,,
Data,7,monitoring,timestamp_16,"25360",s,heart_rate,"84",bpm,,,,,,,,,,,,,,,,,,,
Data,7,monitoring,timestamp_16,"25420",s,heart_rate,"75",bpm,,,,,,,,,,,,,,,,,,,
Data,7,monitoring,timestamp_16,"25480",s,heart_rate,"80",bpm,,,,,,,,,,,,,,,,,,,
Data,7,monitoring,timestamp_16,"25600",s,heart_rate,"79",bpm,,,,,,,,,,,,,,,,,,,
Data,7,monitoring,timestamp_16,"25660",s,heart_rate,"87",bpm,,,,,,,,,,,,,,,,,,,
Data,7,monitoring,timestamp_16,"25720",s,heart_rate,"80",bpm,,,,,,,,,,,,,,,,,,,
Data,7,monitoring,timestamp_16,"25780",s,heart_rate,"84",bpm,,,,,,,,,,,,,,,,,,,
Data,7,monitoring,timestamp_16,"25840",s,heart_rate,"79",bpm,,,,,,,,,,,,,,,,,,,
Data,7,monitoring,timestamp_16,"25900",s,heart_rate,"72",bpm,,,,,,,,,,,,,,,,,,,
