Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,
Definition,0,file_id,serial_number,1,,time_created,1,,manufacturer,1,,product,1,,number,1,,unknown,1,,type,1,,
Data,0,file_id,serial_number,"3336813752",,time_created,"982527000",,manufacturer,"1",,garmin_product,"2158",,number,"121",,type,"32",,,,,
Definition,1,device_info,timestamp,1,,serial_number,1,,manufacturer,1,,product,1,,software_version,1,,,,,,,,
Data,1,device_info,timestamp,"982527000",s,serial_number,"3336813752",,manufacturer,"1",,garmin_product,"2158",,software_version,"9.8",,,,,,,,
Definition,2,software,version,1,,,,,,,,,,,,,,,,,,,,
Data,2,software,version,"3.0",,,,,,,,,,,,,,,,,,,,
Definition,3,monitoring_info,timestamp,1,,local_timestamp,1,,cycles_to_distance,2,,cycles_to_calories,2,,unknown,2,,resting_metabolic_rate,1,,activity_type,2,,unknown,1,,
Data,3,monitoring_info,timestamp,"982527000",s,local_timestamp,"982527000",s,cycles_to_distance,"1.7744|2.6616",m/cycle,cycles_to_calories,"0.0618|0.1948",kcal/cycle,unknown,"4633|4633",,resting_metabolic_rate,"2387",kcal / day,activity_type,"6|1",,,,,
Definition,4,monitoring,timestamp,1,,distance,1,,cycles,1,,active_time,1,,active_calories,1,,duration_min,1,,activity_type,1,,,,,
Data,4,monitoring,timestamp,"982527000",s,distance,"0.0",m,cycles,"0.0",cycles,active_time,"10185.0",s,active_calories,"519",kcal,duration_min,"1210",min,activity_type,"0",,,,,
Data,4,monitoring,timestamp,"982527000",s,distance,"1315.68",m,steps,"1483",steps,active_time,"2380.0",s,active_calories,"97",kcal,duration_min,"1210",min,activity_type,"6",,,,,
Data,4,monitoring,timestamp,"982527000",s,distance,"18.63",m,steps,"14",steps,active_time,"60.0",s,active_calories,"3",kcal,duration_min,"1210",min,activity_type,"1",,,,,
Definition,5,monitoring,timestamp,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp,"982527000",s,unknown,"18",,unknown,"4",,,,,,,,,,,,,,,,,
Definition,6,unknown,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"982527000",,unknown,"61",,unknown,"54",,,,,,,,,,,,,,,,,
Definition,7,monitoring,timestamp_16,1,,heart_rate,1,,,,,,,,,,,,,,,,,,,,
Data,7,monitoring,timestamp_16,"11348",s,heart_rate,"105",bpm,,,,,,,,,,,,,,,,,,,
Data,7,monitoring,timestamp_16,"11468",s,heart_rate,"106",bpm,,,,,,,,,,,,,,,,,,,
Definition,0,monitoring,cycles,1,,active_time,1,,active_calories,1,,timestamp_16,1,,current_activity_type_intensity,1,,,,,,,,,,,
Data,0,monitoring,steps,"1545",steps,active_time,"2560.0",s,active_calories,"107",kcal,timestamp_16,"11468",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,
Data,7,monitoring,timestamp_16,"11528",s,heart_rate,"98",bpm,,,,,,,,,,,,,,,,,,,
Data,7,monitoring,timestamp_16,"11588",s,heart_rate,"93",bpm,,,,,,,,,,,,,,,,,,,
Definition,1,unknown,unknown,17,,,,,,,,,,,,,,,,,,,,,,,
Data,1,unknown,unknown,"68|45|144|58|0|1|3|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,0,monitoring,cycles,"0.0",cycles,active_time,"10305.0",s,active_calories,"524",kcal,timestamp_16,"11588",s,current_activity_type_intensity,"0",,activity_type,"0",,intensity,"0.0",,,,,
Data,4,monitoring,timestamp,"982527300",s,distance,"0.0",m,cycles,"0.0",cycles,active_time,"10305.0",s,active_calories,"524",kcal,duration_min,"1215",min,activity_type,"0",,,,,
Data,4,monitoring,timestamp,"982527300",s,distance,"1370.69",m,steps,"1545",steps,active_time,"2560.0",s,active_calories,"107",kcal,duration_min,"1215",min,activity_type,"6",,,,,
Data,4,monitoring,timestamp,"982527300",s,distance,"18.63",m,steps,"14",steps,active_time,"60.0",s,active_calories,"3",kcal,duration_min,"1215",min,activity_type,"1",,,,,
Data,5,monitoring,timestamp,"982527300",s,unknown,"18",,unknown,"4",,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"982527300",,unknown,"61",,unknown,"54",,,,,,,,,,,,,,,,,
