,Timestamp,Heart rate,sleep time
0,2021-02-27 17:49:00,81.0,0
1,2021-02-27 17:50:00,104.0,0
2,2021-02-27 17:51:00,90.0,0
3,2021-02-27 17:52:00,69.0,0
4,2021-02-27 17:53:00,65.0,0
5,2021-02-27 17:54:00,70.0,0
6,2021-02-27 17:55:00,72.0,0
7,2021-02-27 17:56:00,71.0,0
8,2021-02-27 17:57:00,73.0,0
9,2021-02-27 17:58:00,71.0,0
10,2021-02-27 17:59:00,70.0,0
11,2021-02-27 18:00:00,72.0,0
12,2021-02-27 18:01:00,70.0,0
13,2021-02-27 18:04:00,69.0,0
14,2021-02-27 18:07:00,70.0,0
15,2021-02-27 18:08:00,72.0,0
16,2021-02-27 18:10:00,73.0,0
17,2021-02-27 18:11:00,74.0,0
18,2021-02-27 18:12:00,73.0,0
19,2021-02-27 18:13:00,75.0,0
20,2021-02-27 18:16:00,72.0,0
21,2021-02-27 18:17:00,69.0,0
22,2021-02-27 18:18:00,68.0,0
23,2021-02-27 18:19:00,71.0,0
24,2021-02-27 18:21:00,66.0,0
25,2021-02-27 18:22:00,74.0,0
26,2021-02-27 18:24:00,71.0,0
27,2021-02-27 18:25:00,73.0,0
28,2021-02-27 18:26:00,71.0,0
29,2021-02-27 18:27:00,74.0,0
30,2021-02-27 18:29:00,75.0,0
31,2021-02-27 18:30:00,77.0,0
32,2021-02-27 18:31:00,78.0,0
33,2021-02-27 18:32:00,77.0,0
34,2021-02-27 18:33:00,74.0,0
35,2021-02-27 18:34:00,78.0,0
36,2021-02-27 18:35:00,77.0,0
37,2021-02-27 18:36:00,74.0,0
38,2021-02-27 18:37:00,68.0,0
39,2021-02-27 18:39:00,75.0,0
40,2021-02-27 18:40:00,65.0,0
41,2021-02-27 18:41:00,68.0,0
42,2021-02-27 18:42:00,76.0,0
43,2021-02-27 18:43:00,86.0,0
44,2021-02-27 18:44:00,91.0,0
45,2021-02-27 18:45:00,80.0,0
46,2021-02-27 18:46:00,71.0,0
47,2021-02-27 18:47:00,67.0,0
48,2021-02-27 18:48:00,77.0,0
49,2021-02-27 18:50:00,76.0,0
50,2021-02-27 18:51:00,73.0,0
51,2021-02-27 18:52:00,78.0,0
52,2021-02-27 18:53:00,83.0,0
53,2021-02-27 18:54:00,80.0,0
54,2021-02-27 18:55:00,79.0,0
55,2021-02-27 18:56:00,78.0,0
56,2021-02-27 18:57:00,75.0,0
57,2021-02-27 18:58:00,74.0,0
58,2021-02-27 18:59:00,69.0,0
59,2021-02-27 19:00:00,66.0,0
60,2021-02-27 19:03:00,74.0,0
61,2021-02-27 19:04:00,68.0,0
62,2021-02-27 19:05:00,65.0,0
63,2021-02-27 19:06:00,64.0,0
64,2021-02-27 19:08:00,62.0,0
65,2021-02-27 19:09:00,64.0,0
66,2021-02-27 19:10:00,71.0,0
67,2021-02-27 19:11:00,68.0,0
68,2021-02-27 19:12:00,73.0,0
69,2021-02-27 19:14:00,71.0,0
70,2021-02-27 19:15:00,63.0,0
71,2021-02-27 19:16:00,58.0,0
72,2021-02-27 19:18:00,59.0,0
73,2021-02-27 19:19:00,61.0,0
74,2021-02-27 19:20:00,72.0,0
75,2021-02-27 19:22:00,79.0,0
76,2021-02-27 19:23:00,69.0,0
77,2021-02-27 19:24:00,60.0,0
78,2021-02-27 19:25:00,59.0,0
79,2021-02-27 19:26:00,61.0,0
80,2021-02-27 19:27:00,58.0,0
81,2021-02-27 19:29:00,57.0,0
82,2021-02-27 19:30:00,60.0,0
83,2021-02-27 19:31:00,72.0,0
84,2021-02-27 19:32:00,64.0,0
85,2021-02-27 19:33:00,66.0,0
86,2021-02-27 19:34:00,75.0,0
87,2021-02-27 19:35:00,74.0,0
88,2021-02-27 19:36:00,75.0,0
89,2021-02-27 19:37:00,66.0,0
90,2021-02-27 19:38:00,63.0,0
91,2021-02-27 19:39:00,75.0,0
92,2021-02-27 19:40:00,71.0,0
93,2021-02-27 19:41:00,73.0,0
94,2021-02-27 19:42:00,75.0,0
95,2021-02-27 19:43:00,64.0,0
96,2021-02-27 19:44:00,68.0,0
97,2021-02-27 19:45:00,75.0,0
98,2021-02-27 19:46:00,63.0,0
99,2021-02-27 19:47:00,62.0,0
100,2021-02-27 19:48:00,76.0,0
101,2021-02-27 19:49:00,66.0,0
102,2021-02-27 19:50:00,75.0,0
103,2021-02-27 19:51:00,81.0,0
104,2021-02-27 19:53:00,82.0,0
105,2021-02-27 19:54:00,83.0,0
106,2021-02-27 19:55:00,84.0,0
107,2021-02-27 19:56:00,83.0,0
108,2021-02-27 19:57:00,84.0,0
109,2021-02-27 19:58:00,91.0,0
110,2021-02-27 19:59:00,93.0,0
111,2021-02-27 20:00:00,92.0,0
112,2021-02-27 20:01:00,84.0,0
113,2021-02-27 20:02:00,90.0,0
114,2021-02-27 20:03:00,93.0,0
115,2021-02-27 20:04:00,85.0,0
116,2021-02-27 20:05:00,83.0,0
117,2021-02-27 20:06:00,81.0,0
118,2021-02-27 20:07:00,96.0,0
119,2021-02-27 20:08:00,94.0,0
120,2021-02-27 20:09:00,90.0,0
